ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-AB URL
ABW,Aruba,Preparedness,https://data.humdata.org/dataset/cod-ab-abw
AFG,Afghanistan,Operational,https://data.humdata.org/dataset/cod-ab-afg
AGO,Angola,Preparedness,https://data.humdata.org/dataset/cod-ab-ago
AIA,Anguilla,Preparedness,https://data.humdata.org/dataset/cod-ab-aia
ALB,Albania,Preparedness,https://data.humdata.org/dataset/cod-ab-alb
ARE,United Arab Emirates,Preparedness,https://data.humdata.org/dataset/cod-ab-are
ARG,Argentina,Preparedness,https://data.humdata.org/dataset/cod-ab-arg
ARM,Armenia,Preparedness,https://data.humdata.org/dataset/cod-ab-arm
ATG,Antigua and Barbuda,Preparedness,https://data.humdata.org/dataset/cod-ab-atg
AZE,Azerbaijan,Preparedness,https://data.humdata.org/dataset/cod-ab-aze
BDI,Burundi,Operational,https://data.humdata.org/dataset/cod-ab-bdi
BEN,Benin,Preparedness,https://data.humdata.org/dataset/cod-ab-ben
BES,"Bonaire, Sint Eustatius and Saba",Preparedness,https://data.humdata.org/dataset/cod-ab-bes
BFA,Burkina Faso,Operational,https://data.humdata.org/dataset/cod-ab-bfa
BGD,Bangladesh,Preparedness,https://data.humdata.org/dataset/cod-ab-bgd
BGR,Bulgaria,Preparedness,https://data.humdata.org/dataset/cod-ab-bgr
BHR,Bahrain,Preparedness,https://data.humdata.org/dataset/cod-ab-bhr
BHS,Bahamas,Preparedness,https://data.humdata.org/dataset/cod-ab-bhs
BLM,Saint Barthélemy,Preparedness,https://data.humdata.org/dataset/cod-ab-blm
BLR,Belarus,Preparedness,https://data.humdata.org/dataset/cod-ab-blr
BLZ,Belize,Preparedness,https://data.humdata.org/dataset/cod-ab-blz
BMU,Bermuda,Preparedness,https://data.humdata.org/dataset/cod-ab-bmu
BOL,Bolivia (Plurinational State of),Preparedness,https://data.humdata.org/dataset/cod-ab-bol
BRA,Brazil,Preparedness,https://data.humdata.org/dataset/cod-ab-bra
BRB,Barbados,Preparedness,https://data.humdata.org/dataset/cod-ab-brb
BTN,Bhutan,Preparedness,https://data.humdata.org/dataset/cod-ab-btn
BWA,Botswana,Preparedness,https://data.humdata.org/dataset/cod-ab-bwa
CAF,Central African Republic,Operational,https://data.humdata.org/dataset/cod-ab-caf
CHL,Chile,Preparedness,https://data.humdata.org/dataset/cod-ab-chl
CHN,China,Preparedness,https://data.humdata.org/dataset/cod-ab-chn
CIV,Côte d'Ivoire,Operational,https://data.humdata.org/dataset/cod-ab-civ
CMR,Cameroon,Operational,https://data.humdata.org/dataset/cod-ab-cmr
COD,Democratic Republic of the Congo,Operational,https://data.humdata.org/dataset/cod-ab-cod
COG,Congo,Preparedness,https://data.humdata.org/dataset/cod-ab-cog
COL,Colombia,Operational,https://data.humdata.org/dataset/cod-ab-col
COM,Comoros,Preparedness,https://data.humdata.org/dataset/cod-ab-com
CPV,Cabo Verde,Preparedness,https://data.humdata.org/dataset/cod-ab-cpv
CRI,Costa Rica,Preparedness,https://data.humdata.org/dataset/cod-ab-cri
CUB,Cuba,Preparedness,https://data.humdata.org/dataset/cod-ab-cub
CUW,Curaçao,Preparedness,https://data.humdata.org/dataset/cod-ab-cuw
CYM,Cayman Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-cym
DJI,Djibouti,Preparedness,https://data.humdata.org/dataset/cod-ab-dji
DMA,Dominica,Preparedness,https://data.humdata.org/dataset/cod-ab-dma
DOM,Dominican Republic,Preparedness,https://data.humdata.org/dataset/cod-ab-dom
DZA,Algeria,Preparedness,https://data.humdata.org/dataset/cod-ab-dza
ECU,Ecuador,Preparedness,https://data.humdata.org/dataset/cod-ab-ecu
EGY,Egypt,Preparedness,https://data.humdata.org/dataset/cod-ab-egy
ERI,Eritrea,Operational,https://data.humdata.org/dataset/cod-ab-eri
ESH,Western Sahara,Preparedness,https://data.humdata.org/dataset/cod-ab-esh
ETH,Ethiopia,Operational,https://data.humdata.org/dataset/cod-ab-eth
FJI,Fiji,Preparedness,https://data.humdata.org/dataset/cod-ab-fji
FSM,Micronesia (Federated States of),Preparedness,https://data.humdata.org/dataset/cod-ab-fsm
GAB,Gabon,Preparedness,https://data.humdata.org/dataset/cod-ab-gab
GEO,Georgia,Preparedness,https://data.humdata.org/dataset/cod-ab-geo
GHA,Ghana,Preparedness,https://data.humdata.org/dataset/cod-ab-gha
GIN,Guinea,Preparedness,https://data.humdata.org/dataset/cod-ab-gin
GLP,Guadeloupe,Preparedness,https://data.humdata.org/dataset/cod-ab-glp
GMB,Gambia,Preparedness,https://data.humdata.org/dataset/cod-ab-gmb
GNB,Guinea-Bissau,Preparedness,https://data.humdata.org/dataset/cod-ab-gnb
GNQ,Equatorial Guinea,Preparedness,https://data.humdata.org/dataset/cod-ab-gnq
GRC,Greece,Preparedness,https://data.humdata.org/dataset/cod-ab-grc
GRD,Grenada,Preparedness,https://data.humdata.org/dataset/cod-ab-grd
GTM,Guatemala,Operational,https://data.humdata.org/dataset/cod-ab-gtm
GUF,French Guiana,Preparedness,https://data.humdata.org/dataset/cod-ab-guf
GUY,Guyana,Preparedness,https://data.humdata.org/dataset/cod-ab-guy
HND,Honduras,Operational,https://data.humdata.org/dataset/cod-ab-hnd
HTI,Haiti,Operational,https://data.humdata.org/dataset/cod-ab-hti
IDN,Indonesia,Preparedness,https://data.humdata.org/dataset/cod-ab-idn
IRN,Iran (Islamic Republic of),Preparedness,https://data.humdata.org/dataset/cod-ab-irn
IRQ,Iraq,Operational,https://data.humdata.org/dataset/cod-ab-irq
JAM,Jamaica,Preparedness,https://data.humdata.org/dataset/cod-ab-jam
JPN,Japan,Preparedness,https://data.humdata.org/dataset/cod-ab-jpn
KAZ,Kazakhstan,Preparedness,https://data.humdata.org/dataset/cod-ab-kaz
KEN,Kenya,Preparedness,https://data.humdata.org/dataset/cod-ab-ken
KGZ,Kyrgyzstan,Preparedness,https://data.humdata.org/dataset/cod-ab-kgz
KHM,Cambodia,Preparedness,https://data.humdata.org/dataset/cod-ab-khm
KIR,Kiribati,Preparedness,https://data.humdata.org/dataset/cod-ab-kir
KNA,Saint Kitts and Nevis,Preparedness,https://data.humdata.org/dataset/cod-ab-kna
KWT,Kuwait,Preparedness,https://data.humdata.org/dataset/cod-ab-kwt
LAO,Lao People's Democratic Republic,Preparedness,https://data.humdata.org/dataset/cod-ab-lao
LBN,Lebanon,Operational,https://data.humdata.org/dataset/cod-ab-lbn
LBR,Liberia,Preparedness,https://data.humdata.org/dataset/cod-ab-lbr
LBY,Libya,Operational,https://data.humdata.org/dataset/cod-ab-lby
LCA,Saint Lucia,Preparedness,https://data.humdata.org/dataset/cod-ab-lca
LKA,Sri Lanka,Preparedness,https://data.humdata.org/dataset/cod-ab-lka
LSO,Lesotho,Preparedness,https://data.humdata.org/dataset/cod-ab-lso
MAF,Saint Martin (French part),Preparedness,https://data.humdata.org/dataset/cod-ab-maf
MAR,Morocco,Preparedness,https://data.humdata.org/dataset/cod-ab-mar
MDA,Republic of Moldova,Preparedness,https://data.humdata.org/dataset/cod-ab-mda
MDG,Madagascar,Preparedness,https://data.humdata.org/dataset/cod-ab-mdg
MDV,Maldives,Preparedness,https://data.humdata.org/dataset/cod-ab-mdv
MEX,Mexico,Preparedness,https://data.humdata.org/dataset/cod-ab-mex
MHL,Marshall Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-mhl
MKD,Republic of North Macedonia,Preparedness,https://data.humdata.org/dataset/cod-ab-mkd
MLI,Mali,Operational,https://data.humdata.org/dataset/cod-ab-mli
MMR,Myanmar,Operational,https://data.humdata.org/dataset/mimu-geonode-myanmar-township-boundaries-mimu
MNG,Mongolia,Preparedness,https://data.humdata.org/dataset/cod-ab-mng
MOZ,Mozambique,Operational,https://data.humdata.org/dataset/cod-ab-moz
MRT,Mauritania,Preparedness,https://data.humdata.org/dataset/cod-ab-mrt
MSR,Montserrat,Preparedness,https://data.humdata.org/dataset/cod-ab-msr
MTQ,Martinique,Preparedness,https://data.humdata.org/dataset/cod-ab-mtq
MUS,Mauritius,Preparedness,https://data.humdata.org/dataset/cod-ab-mus
MWI,Malawi,Preparedness,https://data.humdata.org/dataset/cod-ab-mwi
