iso_3,name,src_lvl,src_date,src_update,src_name,src_lic,src_lic1,src_url1,src_url
ABW,Aruba,0,2021-01-01,2023-01-19,Sentinel-2 10m LandCover,Creative Commons Attribution 4.0 (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/ABW/ALL/
AFG,Afghanistan,0,2014-01-01,2023-01-19,"geoBoundaries, ArcGIS Hub",Public Domain,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/AFG/ALL/
AFG,Afghanistan,1,2007-01-01,2023-01-19,"Wikimedia, geoBoundaries",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/AFG/ALL/
AFG,Afghanistan,2,2014-01-01,2023-01-19,"Afghanistan Information Management Services, Esri Disaster Response Program",Public Domain,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2.geojson,https://www.geoboundaries.org/api/current/gbOpen/AFG/ALL/
AGO,Angola,0,2021-01-01,2023-01-19,Open Street Map,Creative Commons Attribution-ShareAlike 2.0,osm-boundaries.com/Documentation,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/AGO/ALL/
AGO,Angola,1,2021-01-01,2023-01-19,U.S. Census Bureau,Public Domain,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/AGO/ALL/
AGO,Angola,2,2006-01-01,2023-01-19,"geoBoundaries, Wikimedia Commons",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2.geojson,https://www.geoboundaries.org/api/current/gbOpen/AGO/ALL/
AGO,Angola,3,2014-01-01,2023-01-19,"geoBoundaries, Instituto Nacional de Estatística, República de Angola; citypopulation.de",Creative Commons Attribution 3.0 License,www.citypopulation.de/termsofuse.html,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3.geojson,https://www.geoboundaries.org/api/current/gbOpen/AGO/ALL/
AIA,Anguilla,0,2021-01-01,2023-01-19,raster2polygon from Sentinel-2 10m Land Cover where Image Year = 2021 / exclude gridcode = 1 (water) / dissolve / processed by IMB,Creative Commons Attribution 4.0 International (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/AIA/ALL/
ALB,Albania,0,2003-01-01,2023-01-19,"geoBoundaries, Wikipedia",Public Domain,en.wikipedia.org/wiki/Outline_of_Albania#/media/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/ALB/ALL/
ALB,Albania,1,2021-01-01,2023-01-19,"geoBoundaries, Wikipedia",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM1/geoBoundaries-ALB-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/ALB/ALL/
ALB,Albania,2,2021-01-01,2023-01-19,"geoBoundaries, Albania districts blank 2.svg",Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM2/geoBoundaries-ALB-ADM2.geojson,https://www.geoboundaries.org/api/current/gbOpen/ALB/ALL/
ALB,Albania,3,2013-01-01,2023-01-19,"OpenStreetMap, Wambacher",Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM3/geoBoundaries-ALB-ADM3.geojson,https://www.geoboundaries.org/api/current/gbOpen/ALB/ALL/
AND,Andorra,0,2007-01-01,2023-01-19,"geoBoundaries, Wikimedia Commons",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AND/ADM0/geoBoundaries-AND-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/AND/ALL/
AND,Andorra,1,2007-01-01,2023-01-19,"geoBoundaries, Wikimedia Commons",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AND/ADM1/geoBoundaries-AND-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/AND/ALL/
ARE,United Arab Emirates,0,1995-01-01,2023-01-19,"geoBoundaries, Wikipedia",Public Domain,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARE/ADM0/geoBoundaries-ARE-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/ARE/ALL/
ARE,United Arab Emirates,1,2017-01-01,2023-01-19,"OpenStreetMap, Wambacher",Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARE/ADM1/geoBoundaries-ARE-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/ARE/ALL/
ARG,Argentina,0,2006-01-01,2023-01-19,"geoBoundaries, Wikimedia",Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARG/ADM0/geoBoundaries-ARG-ADM0.geojson,https://www.geoboundaries.org/api/current/gbOpen/ARG/ALL/
ARG,Argentina,1,2006-01-01,2023-01-19,"geoBoundaries, Wikimedia",Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARG/ADM1/geoBoundaries-ARG-ADM1.geojson,https://www.geoboundaries.org/api/current/gbOpen/ARG/ALL/
