id,iso_3,clip_all,clip_intl,attr_all,attr_intl,adm0_name,adm0_name1,cod_lvl,cod_lvl_max,cod_api_idx,cod_lang,cod_lang1,cod_lang2,geoboundaries_lvl,geoboundaries_lvl_max,geoboundaries_grp
ABW,ABW,,,,,Aruba (Neth.),Aruba,0,,,en,,,,0,
AFG,AFG,,,,,Afghanistan,Afghanistan,2,,,en,da,,2,,
AGO,AGO,,,,,Angola,Angola,3,,,en,,,2,3,
AIA,AIA,,,,,Anguilla (UK),Anguilla,,,,,,,,0,
ALA,ALA,,,,,Åland Islands (Fin.),Åland Islands,,,,,,,,,
ALB,ALB,,,,,Albania,Albania,3,,,en,sq,,3,,
AND,AND,,,,,Andorra,Andorra,,,,,,,1,,
ARE,ARE,,,,,United Arab Emirates,United Arab Emirates,1,,,en,ar,,1,,
ARG,ARG,,,,,Argentina,Argentina,2,,,es,,,2,,
ARM,ARM,,,,,Armenia,Armenia,2,,,en,hy,ru,2,,
ASM,ASM,,,,,American Samoa (USA),American Samoa,,,,,,,3,3,
ATA,ATA,,,,,Antarctica,Antarctica,,,,,,,,0,
ATF_1,ATF,,,,,Kerguelen Islands (Fr.),French Southern Territories,,,,,,,,,
ATF_2,ATF,,,,,Crozet Archipelago (Fr.),French Southern Territories,,,,,,,,,
ATF_3,ATF,,,,,Saint Paul and Amsterdam Islands (Fr.),French Southern Territories,,,,,,,,,
ATF_4,ATF,,,,,Bassas da India (Fr.),French Southern Territories,,,,,,,,,
ATF_5,ATF,,,,,Europa Island (Fr.),French Southern Territories,,,,,,,,,
ATF_6,ATF,,,,,Glorioso Islands (Fr.),French Southern Territories,,,,,,,,,
ATF_7,ATF,,,,,Juan de Nova Island (Fr.),French Southern Territories,,,,,,,,,
ATF_8,ATF,,,,,Tromelin Island (Fr.),French Southern Territories,,,,,,,,,
ATG,ATG,,,,,Antigua and Barbuda,Antigua and Barbuda,1,,,en,,,1,,
AUS_1,AUS,,,,,Australia,Australia,,,,,,,2,,
AUS_2,AUS,,,,,Ashmore & Cartier Islands (Aust.),Australia,,,,,,,,,
AUS_3,AUS,,,,,Coral Sea Islands (Aust.),Australia,,,,,,,,,
AUT,AUT,,,,,Austria,Austria,,,,,,,4,,
AZE,AZE,,,,,Azerbaijan,Azerbaijan,1,,,en,az,,2,,
BDI,BDI,,,,,Burundi,Burundi,2,,,fr,,,2,3,
BEL,BEL,,,,,Belgium,Belgium,,,,,,,4,,
BEN,BEN,,,,,Benin,Benin,2,,,fr,,,3,,
BES_1,BES,,,,,Bonaire (Neth.),"Bonaire, Sint Eustatius and Saba",1,,,en,,,,0,
BES_2,BES,,,,,Sint Eustatius (Neth.),"Bonaire, Sint Eustatius and Saba",1,,,en,,,,0,
BES_3,BES,,,,,Saba (Neth.),"Bonaire, Sint Eustatius and Saba",1,,,en,,,,0,
BFA,BFA,,,,,Burkina Faso,Burkina Faso,3,,,fr,,,3,,
BGD,BGD,,,,,Bangladesh,Bangladesh,4,,,en,,,3,4,
BGR,BGR,,,,,Bulgaria,Bulgaria,2,,,en,,,2,,
BHR,BHR,,,,,Bahrain,Bahrain,,,,,,,1,,
BHS,BHS,,,,,Bahamas,Bahamas,1,,,en,,,2,,
BIH,BIH,,,,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,3,,
BLM,BLM,,,,,Saint Barthélemy (Fr.),Saint Barthélemy,,,,,,,,0,
BLR,BLR,,,,,Belarus,Belarus,2,,,en,,,2,,
BLZ,BLZ,,,,,Belize,Belize,1,,,en,,,2,,
BMU,BMU,,,,,Bermuda (UK),Bermuda,2,,,en,,,,0,
BOL,BOL,,,,,Bolivia (Plurinational State of),Bolivia (Plurinational State of),3,,,es,,,3,,
BRA,BRA,,,,,Brazil,Brazil,2,,,pt,,,2,,
BRB,BRB,,,,,Barbados,Barbados,1,,,en,,,1,,
BRN,BRN,,,,,Brunei Darussalam,Brunei Darussalam,,,,,,,2,,
BTN,BTN,,,,,Bhutan,Bhutan,2,,,en,,,2,,
BVT,BVT,,,,,Bouvet Island (Nor.),Bouvet Island,,,,,,,,,
BWA,BWA,,,,,Botswana,Botswana,3,,2,en,,,2,,
CAF,CAF,,,,,Central African Republic,Central African Republic,3,4,,fr,,,3,5,
CAN,CAN,,,,,Canada,Canada,,,,,,,3,,
CCK,CCK,,,,,Cocos (Keeling) Islands (Aust.),Cocos (Keeling) Islands,,,,,,,,,
CHE,CHE,,,,,Switzerland,Switzerland,,,,,,,2,3,
CHL,CHL,,,,,Chile,Chile,3,,,es,,,3,,
CHN,CHN,,,,,China,China,2,,,en,zh,,2,3,
CIV,CIV,,,,,Côte d'Ivoire,Côte d'Ivoire,3,,,fr,,,3,,
CMR,CMR,,,,,Cameroon,Cameroon,3,,,fr,en,,3,,
COD,COD,,,,,Democratic Republic of the Congo,Democratic Republic of the Congo,2,,,fr,,,2,,
COG,COG,,,,,Congo,Congo,2,,,fr,,,2,,
COK,COK,,,,,Cook Islands (NZ),Cook Islands,,,,,,,,0,
COL,COL,,,,,Colombia,Colombia,2,,,es,,,2,,
COM,COM,,,,,Comoros,Comoros,3,,,en,,,3,,
CPT,CPT,,,,,Clipperton Island (Fr.),Clipperton Island,,,,,,,,,
CPV,CPV,,,,,Cabo Verde,Cabo Verde,2,,,pt,,,2,,
